병원코드,병원명,주소,응급연락처,위도,경도,응급실수,수술실수,자치구,가용응급실수,가용수술실수,뇌출혈,뇌경색,심근경색,복부손상,사지접합,응급투석,조산산모,신생아,중증화상,응급실가용율,응급실포화도
A1200028,(의)서일의료재단기장병원,부산광역시 기장군 기장읍 대청로72번길 6,051-723-2119,35.23602946449906,129.21649161387128,10,2,부산광역시,7.0,1.0,N,N,N,N,N,N,N,N,N0,0.7,원활
A1500019,KS병원,광주광역시 광산구 왕버들로 220 (수완동),062-975-9119,35.197963178976366,126.83322475289852,25,4,광주광역시,12.0,4.0,Y,N,N,Y,N,Y,Y,N,Y,0.48,보통
A1400012,가톨릭대학교 인천성모병원,인천광역시 부평구 동수로 56 (부평동),032-280-6107,37.4845586499062,126.724708130675,25,17,인천광역시,0.0,10.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,0.0,불가
A1100043,강동경희대학교의대병원,서울특별시 강동구 동남로 892 (상일동),02-440-7000,37.55347640402066,127.15752179822285,22,14,서울특별시,0.0,8.0,Y,Y,Y,Y,N,Y,Y,Y,Y,0.0,불가
A2200008,강릉아산병원,강원도 강릉시 사천면 방동길 38,033-610-3333,37.81842668503607,128.85771413305145,29,14,강원도,0.0,12.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,0.0,불가
A2800032,강병원,경상남도 고성군 고성읍 중앙로 49,055-673-4848,34.97415924940364,128.32528942283565,10,2,경상남도,9.0,2.0,N,N,N,N,N,N,N,N,N,0.9,원활
A2200011,강원도강릉의료원,강원도 강릉시 경강로 2007 (남문동),033-610-1234,37.74931042017154,128.8887963251862,6,2,강원도,2.0,2.0,N,N,N,N,N,N,N,N,N,0.3333333333333333,보통
A2200007,강원도삼척의료원,강원도 삼척시 오십천로 418 (남양동),033-570-7431,37.44027922704624,129.16370014395005,20,2,강원도,14.0,2.0,N,N,N,N,N,Y,N,N,N,0.7,원활
A2200012,강원도속초의료원,강원도 속초시 영랑호반길 3 (영랑동),033-630-6036,38.21622784728713,128.5891194514502,20,3,강원도,19.0,3.0,N,N,N,N,N,N,N,N,N,0.95,원활
A2200002,강원도영월의료원,강원도 영월군 영월읍 중앙1로 59,033-370-9129,37.186588403987926,128.46530529870284,10,1,강원도,9.0,1.0,N,N,N,N,N,N,N,N,N,0.9,원활
A2803677,강일병원,경상남도 김해시 가락로 359 (구산동),055-822-0119,35.2567043538,128.869611099,11,3,경상남도,8.0,3.0,Y,N,N,N,N,Y,Y,N,Y,0.7272727272727273,원활
A1100002,건국대학교병원,서울특별시 광진구 능동로 120-1 (화양동),02-2030-5555,37.54084479467721,127.0721229093036,27,18,서울특별시,0.0,13.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,0.0,불가
A2700018,경상북도김천의료원,경상북도 김천시 모암길 24 (모암동),054-429-8234,36.12249076001089,128.12649330522635,11,5,경상북도,15.0,5.0,N,N,N,Y,N,Y,N,N,Y,1.0,원활
A1300003,계명대학교동산병원,대구광역시 달서구 달구벌대로 1035 (신당동),053-258-6306,35.85388728949212,128.48012966656532,28,24,대구광역시,0.0,12.0,Y,Y,Y,Y,Y,Y,N,Y,Y,0.0,불가
A2600029,곡성사랑병원,전라남도 곡성군 곡성읍 곡성로 761,061-360-6008,35.27628370526432,127.2879760334259,7,1,전라남도,5.0,1.0,N,N,N,N,N,N,N,N,N0,0.7142857142857143,원활
A2100007,광명성애병원,"경기도 광명시 디지털로 36, 광명성애병원 (철산동)",02-2680-7115,37.4734614743463,126.87192258470483,20,5,경기도,4.0,2.0,Y,Y,N,Y,N,N,Y,Y,Y,0.2,혼잡
A2600006,광양사랑병원,전라남도 광양시 공영로 71 (중동),061-797-7119,34.93614549410383,127.6969510970332,10,2,전라남도,9.0,0.0,N,N,N,N,N,N,N,N,Y,0.9,원활
